,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,LTBP2,KRT7,PCSK2,TNC,GEM,MARCO,CXCR4,CYP2B6,MS4A6A,DNAAF1,DUSP2,CD1C,CCR2,BAMBI,KIT,DPT,CAVIN1,FOXP3,GLIPR1,SPIB,HPGDS,GHRL,LAMP3,CLEC4E,MEDAG,TENT5C,SOX18,AQP9,TMEM100,CCL5,CXCL10,LYVE1,EPCAM,SOX17,TBX3,SRPX,PRG4,PTN,SNCA,CTSK,GNLY,VWF,EPCAM,MYH11,SRPX,KLRB1,KCNK3,TENT5C,MYLK,EDNRB,DES,BTNL9,SERPINB3,CAPN8,TFPI,SFRP2,ASPN,EPCAM,MALL,MALL,CYP2B6,KRT7,CAVIN1,FBN1,MALL,TCIM,CAPN8,MALL,CAPN8,MALL,TFPI,LTBP2,TCIM,TFPI,MALL,KRT7,MYH11,MYH11,MALL,KRT7,TFPI,MALL,MALL,TCIM
1,COL5A2,EPCAM,MALL,MALL,EPCAM,MCEMP1,TRAC,MALL,FGL2,CYP4B1,TRAC,CLEC10A,CXCR4,TCIM,CPA3,INMT,EPCAM,CTLA4,IL7R,MS4A1,MS4A6A,CAPN8,MALL,MS4A6A,CAPN8,MZB1,PECAM1,FCGR3A,CAVIN2,CD8A,CXCL9,MMRN1,FBLN1,PECAM1,LTBP2,FBLN1,INMT,PDGFRB,MS4A6A,CAPN8,CCL5,PECAM1,MALL,ACTA2,CAPN8,IL7R,PDGFRB,MALL,MYH11,CD34,MYH11,CD34,LY6D,CXCL9,MALL,CYP4B1,EPCAM,CAPN8,TCIM,EPCAM,EGFR,GPRC5A,DMBT1,VCAN,AGR3,EGFL7,MYC,EPCAM,MYC,FCER1A,THAP2,GPC1,EGFL7,EPCAM,EPCAM,GPRC5A,SCGN,VWF,EPCAM,EPCAM,MET,EGFR,MEF2C,EPCAM
2,PDGFRA,MALL,TCIM,CYP2B6,MALL,PPARG,PTPRC,TFPI,CD163,C1orf194,CCL5,MS4A6A,PRDM1,EPCAM,MS4A2,PTGDS,MALL,TRAC,PTPRC,CXCR4,AIF1,CYP2B6,CYP2B6,CD163,EPCAM,SLAMF7,CD34,MARCO,PECAM1,NKG7,CCL5,VWF,MALL,CLEC14A,MYLK,C7,PTGDS,LTBP2,AIF1,EPCAM,PRF1,MMRN1,CAPN8,CNN1,EPCAM,TRAC,PTN,EPCAM,ACTA2,PECAM1,MYLK,PECAM1,CLCA2,EPCAM,EPCAM,CAPN8,MALL,MYC,EPCAM,MTRNR2L11,IL1R2,STEAP4,PECAM1,RBP5,MET,GDF15,CCDC78,MET,GPRC5A,AGR3,CYP1A1,TCF4,SERPINB9,GATM,MET,STEAP4,HES4,EDN1,GPRC5A,STEAP4,MLPH,CFB,PPARG,EHF
3,FBN1,GPRC5A,EPCAM,TFPI,CAPN8,MRC1,IL7R,CYP4B1,MPEG1,TSPAN19,CXCR4,CD1E,CYTIP,MLPH,IL1RL1,LTBP2,GPRC5A,PTPRC,TRAC,BANK1,MRC1,CYP4B1,TCIM,MRC1,MALL,PRDM1,VWF,AIF1,CAV1,TRAC,TRAC,CD93,MYC,CD93,PDGFRA,PTGDS,LTBP2,ACTA2,MRC1,MALL,KLRC1,ACKR1,KCNMA1,MYLK,MALL,CXCR4,APOLD1,CYP2B6,MALL,CLEC14A,ACTA2,EGFL7,LILRB4,MALL,SCGB2A1,MYC,CAPN8,MALL,SFTA2,AGR3,ASCL1,MKI67,COL17A1,CD5L,SFTA2,FGFBP1,STEAP4,GPRC5A,EPCAM,ARFGEF3,HES4,DST,IGSF6,EHF,EGFR,MYC,TM4SF4,AR,MET,GPRC5A,MYC,GPRC5A,ACTG2,BCL2L11
4,PDGFRB,CAPN8,CYP2B6,TCIM,GPRC5A,FCGR3A,CCR7,CAPN8,MS4A4A,TMC5,PTPRC,AIF1,PTPRC,CFB,SLC18A2,PDGFRA,TFPI,CD2,CXCR4,CD79A,FCGR3A,MALL,CAPN8,AIF1,CYP4B1,FKBP11,CLEC14A,MRC1,BTNL9,PTPRC,PTPRC,PECAM1,GPRC5A,CD34,PDGFRB,FBN1,FBLN1,MYLK,CD163,CYP4B1,KLRD1,CD93,KRT7,OGN,CYP4B1,CD2,EDNRB,CAPN8,TRAC,CAVIN1,ADAMTS1,VWF,UMOD,GPRC5A,SFTA2,FGFBP1,CYP4B1,MET,MEF2C,CFTR,RIDA,S100A1,CD1E,SNCG,SCGB2A1,FXYD2,MEF2C,STEAP4,VWA5A,SOX2,CYP2A7,FHL2,FCGR3A,NTN4,MEF2C,SMYD2,PLIN4,FGL2,MYC,MEF2C,MCF2L,STEAP4,ANPEP,AMY2A
5,MYLK,MYC,SFTA2,EPCAM,TCIM,CD68,MS4A1,TCIM,MRC1,SNTN,CD3E,FGL2,MZB1,CYP4B1,GATA2,MYLK,KRT7,IL7R,CD2,CD19,IGSF6,TCIM,TFPI,IGSF6,CYP2B6,CXCR4,ADGRL4,CD68,VWF,CXCR4,CD2,ECSCR,KRT7,VWF,COL5A2,OGN,PDGFRA,COL5A2,IGSF6,CYP2B6,NKG7,ADGRL4,GPRC5A,KCNMA1,CYP2B6,CD3E,HIGD1B,CYP4B1,EPCAM,APOLD1,CNN1,CLEC14A,ANGPT2,KRT7,TCIM,EGFR,TMC5,GPRC5A,MET,GPX2,C1orf162,STC2,GPC1,LGR5,EPCAM,DST,COL17A1,GNG11,STEAP4,ELF5,SPI1,CYP3A4,HMGCS2,S100A1,SFTA2,COL17A1,CENPF,FOXA1,SCGB2A1,MET,ADIPOQ,MEF2C,SELL,AQP3
6,SFRP4,TMC5,GPRC5A,NTN4,KRT7,AIF1,CYTIP,EPCAM,AIF1,CYP2B6,CD2,HLA-DQB2,TRAC,CAPN8,VWA5A,FBLN1,CAPN8,CD3E,CD3E,PTPRC,MS4A4A,MLPH,EPCAM,MNDA,MEST,TNFRSF17,CD93,C1orf162,CAVIN1,CD3E,CD3E,CD163,ADAMTS1,EGFL7,FBN1,PDGFRA,FBN1,THY1,C1orf162,GPRC5A,GZMA,CLEC14A,TMC5,ADAMTS1,GPRC5A,PTPRC,MYLK,TFPI,IL7R,ADGRL4,ACTG2,APOLD1,SPI1,MS4A1,CFB,EHF,TFPI,STEAP4,CFB,S100A12,BCL2L11,SPI1,SERPINB3,S100A12,MYC,CD274,BBOX1,MEF2C,TMC5,CXCL2,LILRB2,CD4,KIT,AIF1,STEAP4,EHF,STC2,NAT8,AMY2A,TMC5,CD300E,CFTR,SFTA2,SEMA3C
7,INMT,MET,STEAP4,CAPN8,STEAP4,C1orf162,CD3E,CFTR,KCNMA1,C20orf85,IL7R,C1orf162,TENT5C,MALL,LIF,SFRP4,TMC5,PRDM1,CYTIP,CCR7,CD163,TMC5,NTN4,C1orf162,TCIM,CD79A,EGFL7,PPARG,CLEC14A,CD2,IL7R,CD14,MET,APOLD1,ACTA2,SFRP2,PMP22,CD34,CD93,TMC5,PTPRC,CAVIN1,TCIM,CAVIN1,KRT7,CYTIP,INMT,TCIM,SCGB2A1,MYH11,KCNMA1,CD93,COL17A1,CYP2B6,CFTR,GPX2,EHF,MEF2C,EGFR,FOXJ1,SCGN,MYC,GZMB,TMEM52B,CFB,CCDC39,GLYATL1,MYC,COL17A1,GZMA,MKI67,PLA2G7,KCNMA1,LY86,MYC,EPCAM,GZMA,MZB1,APCDD1,SLAMF7,ARFGEF3,EPCAM,EPCAM,ACTG2
8,VCAN,CYP4B1,CFB,SFTA2,TMC5,VSIG4,CXCL9,TMC5,CD14,CAPN8,CYTIP,FCER1A,IL7R,EGFR,HPGDS,FBN1,EHF,CD3D,CCL5,IRF8,C1orf162,ACE2,MLPH,MPEG1,EHF,CYTIP,ECSCR,MCEMP1,NPDC1,GZMA,CD83,MS4A4A,CAPN8,ECSCR,MYH11,ADAMTS1,MYLK,SFRP4,MS4A4A,EHF,CD247,CD34,STEAP4,GEM,TMC5,CD3D,CRISPLD2,EHF,CXCR4,EGFL7,EDNRB,MCF2L,LPL,TMC5,ARFGEF3,PPP1R1B,MYC,PPARG,MYC,HPX,SNCG,SLC26A2,UPK3B,LAG3,CD83,FCGR1A,CLECL1,APCDD1,DST,VWA5A,PLCG2,AGER,IRF8,CD70,GNG11,MEST,CAV1,MYLK,STEAP4,EGFR,CFTR,SCGB2A1,EHF,ALDH1A3
9,ACTA2,EHF,MLPH,CFTR,MET,FCGR1A,CCL19,MLPH,IL2RA,EHF,GZMK,PTPRC,MS4A6A,GPRC5A,SLC26A2,PMP22,MYC,CYTIP,MS4A6A,CLECL1,CD68,CFTR,CYP4B1,FCN1,GPRC5A,PECAM1,APOLD1,FCGR1A,EGFL7,GZMK,CD8A,EGFL7,MEST,ADGRL4,INMT,CTSK,MAMDC2,FBN1,PLA2G7,MLPH,CD2,ECSCR,MYC,GLIPR1,EHF,PRDM1,CAV1,SFTA2,PTPRC,ACTA2,CAVIN1,ECSCR,MNDA,MYC,PPP1R1B,GYPB,GPRC5A,GPC1,SCGB2A1,AR,KNG1,COL17A1,S100A12,ANGPT2,ERBB2,IL1R2,TOP2A,GDF15,ERBB2,RIDA,SFTA2,CD28,INS,ALAS2,PCNA,EDN1,THY1,MYC,SFTA2,PPARG,KLRC1,SFTA2,EGFR,GPRC5A
